IntervalVectorSize,Restriccion,LB,UB,RNGValue,Mejor
24,9,0,8.00001,7.50932,0
24,9,0,8.00001,3.87447,0
24,9,0,8.00001,3.36161,0
24,9,0,8.00001,6.87325,0
24,9,0,24.0001,13.2484,0
24,9,0,24.0001,4.50852,0
24,9,0,13.0001,2.87877,0
24,9,0,21.0001,13.2145,0
24,9,0,20.0001,0.92127,0
24,9,0,20.0001,8.68005,0
24,9,0,13.0001,4.34265,0
24,9,0,20.0001,7.28302,0
24,9,0,24.0001,23.957,0
24,9,0,24.0001,12.364,0
24,9,0,13.0001,7.62444,0
24,9,0,21.0001,10.653,0
24,9,0,16.0001,15.9205,0
24,9,0,16.0001,5.02691,0
24,9,0,13.0001,5.35683,0
24,9,0,16.0001,14.0128,-24.3169
24,9,0,12.0001,1.61785,-24.3169
24,9,0,12.0001,5.85086,-24.3169
24,9,0,12.0001,2.44595,-24.3169
24,9,0,12.0001,6.61898,-24.3169